RESOURCE,count,mean,std,normality_p_value,Normality,kruskal_p_value,KRUSKAL,LC_p_value,LCresult
STEP_005/EQP_119_2,1677.0,7.793679189028026,1.4677546453437729,0.0,False,2.3013080839805363e-25,False,0.1231828882251817,DUMMY
STEP_005/EQP_119_3,1160.0,7.703448275862069,1.684827027090196,0.0,False,2.3013080839805363e-25,False,1.0,DUMMY
STEP_005/EQP_119_4,1037.0,7.782063645130183,1.8622303603110715,0.0,False,2.3013080839805363e-25,False,1.0,DUMMY
STEP_006/EQP_155_2,312.0,7.753205128205129,1.2240841380721041,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_155_3,155.0,7.083870967741936,2.765639914935912,0.0,False,1.888407311572015e-43,False,5.021776262310281e-07,WOW
STEP_006/EQP_155_4,111.0,8.91891891891892,1.2368224325786346,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_159_2,1681.0,7.651397977394408,2.0701563109192422,0.0,False,1.888407311572015e-43,False,0.48644317573918905,DUMMY
STEP_006/EQP_159_3,1584.0,7.67550505050505,1.589449102599191,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_159_4,1670.0,7.612574850299401,1.8645467032804606,0.0,False,1.888407311572015e-43,False,0.0041523208545740636,WOW
STEP_006/EQP_166_2,791.0,7.838179519595449,1.774391312466683,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_166_3,831.0,7.931407942238267,1.734515054169802,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_166_4,1.0,10.0,,0.0,False,1.888407311572015e-43,False,0.056825607154363335,DUMMY
STEP_006/EQP_169_2,12.0,8.666666666666666,1.0730867399773196,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_169_3,12.0,9.916666666666666,0.9962049198956217,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_173_2,1270.0,7.6716535433070865,1.7948528824471617,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_173_3,1257.0,7.619729514717582,1.8789461040198328,0.0,False,1.888407311572015e-43,False,0.010524116534711797,WOW
STEP_006/EQP_173_4,783.0,7.934865900383142,1.4966621690397277,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_175_2,608.0,7.735197368421052,1.9416389314761142,0.0,False,1.888407311572015e-43,False,1.0,DUMMY
STEP_006/EQP_175_3,615.0,7.547967479674797,1.634489311187735,0.0,False,1.888407311572015e-43,False,5.530063964301444e-05,WOW
